,id,k6_cluster,k10_cluster
389,4rMN8vnOmVvQSMkXp6OLfv,4,7
390,1oJFh04MxEmecGdJd8yPhu,0,9
391,1dTKLBrljnBfyuLL0Qbo4U,4,7
392,29TdG6iuPmFQqKBCSpDw3G,4,7
393,3gpr0nir2ctUJQ8M4zo36z,2,6
394,2yJ9GVCLMmzBBfQAnfzlwr,4,7
395,0B3LaidsxjnBTUlKgKQQe5,2,6
396,6aNwbCxOHhSSfD42CbZlQA,4,7
397,433P7tDcIAi6NLnf4Sh6tI,0,2
398,3aJkV6DUTSCqOwVwaBDG9B,0,5
399,0azC730Exh71aQlOt9Zj3y,4,7
400,5e574bhjycX1eH2l4Auage,0,5
401,698ItKASDavgwZ3WjaWjtz,2,9
402,0gb1J5UrTpzaU1s3nupgCd,4,7
403,1pjvlYOMIg1NhGQbM6iwrY,4,7
404,7vRriwrloYVaoAe3a9wJHe,5,0
405,0XN2BcoaKE4Z2hnq1ZeDY1,2,6
406,2lfPecqFbH8X4lHSpTxt8l,2,9
407,5masKPHeAOVNgxdLebIcK7,4,7
408,5Y1nDHK2sRssiODgho8uMn,5,8
409,27PmvZoffODNFW2p7ehZTQ,0,5
410,44TuSOP6xIAEeJmZsN3nXO,2,9
411,5NFYuqu8V6QXc6mzcLImd6,4,7
412,3V0PeMg2mhbYRtk9bioAwF,5,0
413,7zBPzAjKAqQpcv8F8GCq5s,0,5
414,1Jj6MF0xDOMA3Ut2Z368Bx,5,0
415,22HYEJveCvykVDHDiEEmjZ,2,9
416,5KQDGl3vAkNGyfvSbaW89E,2,6
417,4c0rkFPszqQTyC753tsCMU,4,7
418,3LI4MmibTkXH5cGpCGZgyw,2,6
419,1zi7xx7UVEFkmKfv06H8x0,2,6
420,23NWj2izXAJ4yL6Nah73wf,0,5
421,3TIGSAP7l8sIfRy9vf73aL,4,7
422,0RAXbA0EGydtxACuuTlUrl,2,6
423,6TaqooOXAEcijL6G1AWS2K,2,6
424,2hsza71y54ABzmabyNDtM4,4,7
425,76hfruVvmfQbw0eYn1nmeC,4,7
426,3jomjC6H7YQBRr2CHPtc4y,4,7
427,1i1fxkWeaMmKEB4T7zqbzK,2,9
428,0wdKiSBUT7aZkXUIdJWcwC,0,5
429,305WCRhhS10XUcH6AEwZk6,2,6
430,3iVcZ5G6tvkXZkZKlMpIUs,0,5
431,7pKfPomDEeI4TPT6EOYjn9,5,0
432,2ZRJRe82aZaVhOKKlbJr4v,0,5
433,57exrbwAqmn712QGaW1hB1,4,7
434,16JoRyQHA0LJYc4zJINsVW,0,5
435,3JOVTQ5h8HGFnDdp4VT3MP,5,0
436,2aBxt229cbLDOvtL7Xbb9x,5,6
437,7cdjzBIlIZ3sWX3AFD4yuk,4,7
438,69uxyAqqPIsUyTO8txoP2M,2,6
439,7ygpwy2qP3NbrxVkHvUhXY,2,9
440,50kpGaPAhYJ3sGmk6vplg0,0,5
441,6V68ItawQkQlZhYIf1S86C,2,9
